Date,Rating,Review
2026-07-17,5,Very good hygiene and. Very fast I really like this app.
2026-07-02,5,First time I ordered from EatSure it was really nice & the delivey was very quick.....😍😍😍😍 Great Job Team....
2026-06-25,4,Delicious my kids enjoyed the pizza
2026-07-16,1,Very horrible experience there agents and supervisors are not willing to help the customers worthless and use less customer service they have. They don't listen and just disconnect the chat in between without providing any resolution.
2026-07-13,1,not available cash on delivery After one order cancell wrong app for home uses.Not any customer support and not any help for customer. I have a loss on order.Not useful
2026-06-24,5,Exceptional service by eat sure. We ordered wraps from faasos and got discount and two dishes free from eatsure. Very happy with service and delivery experience. Thank you Eat sure!!!
2026-07-13,5,Amazing range of restaurants to choose from & the freebies are just 👌 😀
2026-06-25,1,One of the worse food delivery app. No customer service. The food was not delivered and it showed delivered on app. When asked them for refund they said the refund has been completed and you need to ask your payment partner regarding refund. There is no one to speak to.. You are on your own. This is a fake app who just want to steal the money from you. Beware
2026-07-18,5,You can't imagine much here  instead you will find something pure and light here
2026-07-12,1,Really pathetic on service  the customer support is placed to just repeat same message always. Order is delayed by atleast 1 hour and chat support all it does will add everytime add 3 mins more from current time  that's all support you get. Its not even a bot or person it appears just a code written to repeat same set messages repeatedly. Not going to use the app anymore
2026-07-10,1,Delivered spoiled food
2026-07-14,1,Got ad on my pincode and while taking order its showing you guys dont deliver on the pincode  whats the point of advertising it than
2026-06-22,1,Very bad service. 👎 don't use this app
2026-07-13,1,Cannot login from past a month. Asks for mobile number for OTP and then the next screen is of sign me up. I have been using it since it was fasos. Not happy.
2026-06-22,1,I ordered my food from faasos  it was burnt and tased pretty bad to make me not to order from this outlet ever again
2026-07-06,5,love the food
2026-06-29,1,Worst app ever ... When u will add something in the cart it will immediately show our of stock and still it will show in the offer list ... Useless
2026-07-16,5,Best discount and best service delivery aap...
2026-07-14,5,The full time delivery is awesome. But the quikie delivery needs a lot of improvement. It took 45 mins to deliver my order which was supposed to arrive in 15 mins.
2026-07-12,5,The best thing about eatsure is they take the customer feedback seriously unlike Swiggy and Zomato. That ability to order from multiple restaurants in a single order has a great potential
2026-07-14,5,Taste was delicious. Perfect packing. Thank you
2026-07-14,1,I had order 2 biryani from Behrouz at 12.30am and estimated time of arrival was 1.10am but the delivery boy was having 3 order first order was on the way so he delivered the first order and then he was moving ahead to my location but then he crossed my location at 1.30am and went to deliver another order and by the time he reached my location it was already 1.55am. before that I had already requested for cancellation but they told full amount will be charged as cancellation fee. Terrible experie
2026-07-06,5,Greatest app for food
2026-07-17,5,Really very nice delicious 😋 dish quantity was little less but I really enjoyed so yummy 😋😋😋😋 very highly recommend
2026-07-11,5,🙂
2026-07-03,5,very good 👍
2026-06-22,1,Customer service bakwas hai ...raat me food order Kiya arriving time badhate rhe jab chat ki to order cancel karne ke liye or bole ki 5 din me kabhi bhi same order free mil jayga jab bhi order karoge ticket I'd bata ke ...ab order nhi ho rha
2026-07-18,1,Gps not working😂
2026-06-22,5,It's nice app for food delivery. Great offers  timely delivery and good food.
2026-07-01,5,excellent food delivery app
2026-07-14,1,No customer service support. You can't contact anyone if your delivery is delayed. App is showing all wrong information in tracking. Delivery boy is saying food is not prepared and app is showing food is deliverd in 1 min. No cancellation option also. Don't go with this app accidentally also
2026-07-13,4,Today 25012025 OTP issue unable to login
2026-06-24,1,Waste of time I have use these for first time & it's deliving time was extending so I personally recommend that don't use these useless app
2026-07-08,5,Kharab app hai
2026-06-23,4,Kudos Sweet Truth.!!! The cake was awesome. Everybody enjoyed it.!!!👌👍😊
2026-07-08,5,Eatsure team worked on effective resolution and supported well to their Best.Hope the same for all.Happy New Year 🎊
2026-07-16,5,Best app and very easy on cash on delivery
2026-07-03,5,❤️🎉
2026-07-09,5,Please add an option(text box) to properly specify the issue when contacting support. I was not able to select that the rice type was incorrect  not the whole product. Though still a wrong item.. I had ordered a combo only to realise within seconds that it was wrong rice flavour. I cancelled the order as it gave 1 minute to cancel it. Then I reordered the correct flavour which costed me 100 rs more but they still sent me the wrong flavour. Contacted support and it gave me refund. 10/10 support
2026-07-06,1,Very bad service i ordered 2 pizzas but delivered only 1 pizza scam
2026-07-15,1,Totally fraud taking the order and not delivering it and not refunding the money it really bad experience
2026-06-28,1,This is totally Fraud company. I was order Paneer Tikka masala kulcha lunch box so they provide complimentary (rajma chapati+ 1 gulab jamun) because I am new. I was added every thing. I did my payment 314 rupees. After payment I have checked order list and I was shocked complimentary was removed. So I cancelled the order but they didn't refund anything. I start searching hua customer care but not found I start chat CC they call me Rohit was agent that told me we are not providing refund.Fraud
2026-06-29,1,They didn't deliver my order neither they refunded my money. I didn't get any help from their customer support. Very unprofessional . Don't use this app they are actually looting your money.
2026-06-28,5,The best food aap & fastest delivery.. best chef tha the cafe ...
2026-07-07,1,Too much high rate price
2026-07-14,3,Sometimes sides  sauces veggies missing in burgers delivery area limited not available at my location it's so sad instructions not follow all time Thanks
2026-06-22,4,The food delivery experience is really good
2026-07-14,5,Very nice and professional.
2026-06-29,5,Good service  delivered before time with mo hassle. And got free pizza also😆
2026-07-12,5,nice deals and profitable discounts
2026-07-04,1,The app glitches alot & also why refresh infinitely.
2026-06-25,5,Great Taste and delivered on time.
2026-07-15,5,ग्रेट delivery
2026-06-30,5,They delivered my order a bit late because it was 1 a.m at night but they delivered it safely the quality was amazing loved the service
2026-07-02,1,False advertisement. I have seen biriani in 149 but when I install app and tried to order but it's showing more than 450 price. You running false advertisement
2026-07-18,5,it's really very nice
2026-07-16,5,Best delivery service and good food packaging
2026-07-03,4,Great discounts with good quality food from restaurants delivered at your doorstep.
2026-07-18,3,Very few restaurants and dishes are showing in app and should offer some discount at least !
2026-07-17,1,Worst biryani delivered low quality
2026-07-16,5,Food is sooo delicious 😋
2026-06-29,5,very happy thanks for wendys
2026-07-01,3,Bro come at our location too (Burari Delhi)
2026-06-29,1,DONT USE THIS APP!!They don't deliver on time! If you're hungry please avoid eatsure at all costs 2 hours to deliver an order which is just 2 kms away!! And this is not the first time it's happening! The customer service is even worse!! Zero empathy towards customers! Always go for swiggy or Zomato! Made my family starve twice!!
2026-06-30,5,I became a regular customer to eatsure not use non other apps than this love your service 👌♥️
2026-07-10,5,first experience was my best experience thanks so much
2026-07-08,5,Very nice app with loads of food options at your fingertips also the food is amazing. Keep up the good work 👍
2026-07-11,1,Super Pathetic service They will show that food will be delivered in 30 minutes but the food will be delivered after 90 minutes or more than that & their support team doesn't respond
2026-06-27,4,make faster
2026-07-06,1,don't delivered in many areas 😤
2026-07-03,5,Great offers  overall good taste. 👍
2026-06-28,4,It's really nice...the food the delivery and the cost..just amazing but it's a little soggy but the taste is so delicious and so tempting.... First experience with you is just soo good specially the note.... thankyou for it 😇
2026-06-30,1,First of all you work on restaurants locations with pincode  and who is paying food packing charges?? I m really disappointed with your unnecessary charges. Delivery charges vey high.
2026-07-10,1,Customer support is rubbish  they only send computed replies  late order deliveries
2026-07-10,4,Man I love this app! I always wanted to order multiple dishes at once. I mean  who wouldn't? EatSure actually helps me put up all the foods together and order. I love that facility!
2026-06-25,1,Worst app of the world as I have ordered 4 times and each time ordered has been cancelled and each time delivery guy has some issue . I am uninstalling this app and very strong recommendation to not install app and never make payment . App ke name PE SCAM HAI YE.
2026-07-06,5,Great. Just wish for more restaurants to be added to increase options for the user.
2026-07-01,5,Good offers and delivered ontime
2026-07-15,4,Good work ES keep it going
2026-07-08,1,Worst
2026-06-27,5,too good..and fast
2026-07-14,1,Wrost food  app and customer service Don't waste your money.no support from them
2026-06-23,1,बहुत घटिया एप है  भूलकर भी इस्तेमाल मत करना ... अभी शाम के सवा सात है और इनके पास एक भी ऐसा रेस्टोरेंट नहीं है जहां से समोसे मंगाया जा सके। जनता को मूर्ख बना रहे हैं
2026-06-26,1,Worst coustomer support .. Before placing order they won't tell anything as soon as order is placed they will say sir this item is out of stock so we will give alternate thing Also they don't follow cooking instruction Worst food delivery experience
2026-07-16,5,Easily better than Zomato and Swiggy 😭 (downloaded it just a month ago and guess what it's my fav food app now). Even the delivery was so clean and perfect <3. Keep up the good work. Here's a 5⭐
2026-06-25,5,Best food for best price. Great customer support and services.
2026-06-23,5,Amazing service... amazing taste Easy to order food
2026-07-13,5,good taste  variety and offers
2026-07-10,3,Improve your Tracking feature on app
2026-07-10,5,Absolutely worth to try. Not like those overpriced app like swiggy and Zomato where there is unnecessary charges every step. This is the type of service we want from apps and e-commerce apps. Really amazing
2026-06-23,1,Useless app cannot detect my location and also I make a new account and login but when I open the app again it shows guest account like bruh ???
2026-06-27,5,full star rating because of your low price delivery
2026-07-17,5,very tasty food  with hygiene packaging  super offers.
2026-07-13,1,Refund policy and experience was bad for me
2026-07-12,5,Way better 😌 than other apps
2026-07-08,1,Ordered At 2 AM  Order Was Never Delivered... When I Asked For Refund They Straightaway Blocked Me!
2026-07-18,5,Great Food   full of discounts   value for money .
2026-07-14,5,You can order from multiple restaurant only in one order with less packaging charges + taxes. The app is better than the food giants like Swiggy and Zomato. I would also love if they add groceries in the future.
2026-06-28,5,The packaging and food both are sooo good it was a delicious and delightful experience.. We ended up over eating and finger licking good meal..
2026-06-25,5,Its the best app for tasty food I can guarnty ❤️❤️❤️
2026-06-23,1,Pincode not working
2026-07-05,1,I paid throught gpay and the money was deducted from my account but it wasn't received sk i had to pay again . I requested for a refund as but still no help and reply . Please help me with my refund .
2026-06-23,4,Thanks😄 food delivered very delicious  tasty and hygiene.
2026-07-08,4,🥳🥳
2026-06-30,5,awesome food bowl from the good bowl.. thoroughly enjoyed the food
2026-07-16,5,Best this app ez
2026-07-11,5,good
2026-07-14,1,Very bad app . Refund money not send . No refund system. Fraud app. Zomato swiggu and zepto app better. This app fraud and not use all people
2026-07-18,1,First Time order coupon never work. It always says max coupon applied when it isn't even near to the other coupon
2026-07-16,1,Please don't believe this app I have ordered using this app for the offer without delivering they have cancelled the order and also they didn't refund the amount which I have paid l.
2026-07-08,5,delivered in just 20 mins and taste was also so good
2026-07-19,1,Customer support services is very bad. I am order the chicken biryani but I received cockroach biryani I am asking to refund my money  the customer support executive is not responding. Don't choose this app
2026-06-30,5,👌
2026-06-23,2,Worst food
2026-07-08,1,Outlets process wrong order every time and support is worst amongst all app I have seen till today. Edit -03 Jan-25- Eatsure deserve 1 star. Even after writing them detail issue about order and refund they replied with only refund issue and conveniently ignored order issue.
2026-06-29,4,Perfect cooked  tasty and deliver on the time 👍👍👍👍
2026-07-03,5,It very good test thanku so much
2026-07-08,5,Good delicious varieties of food items.with good delivery service.
2026-07-06,5,Meal qualitie is very good
2026-07-05,1,That's only first class family affected 😭😭middle class family not afford this value Dugna se Jada price rakhe har food ka Waste of time this aapp
